epoch,metrics/h_mean,metrics/p_exp,metrics/p_opt,metrics/train_loss,metrics/val_loss,step
0,,,,0.11311522871255875,,0
0,,,,0.1132226511836052,,1
0,,,,0.08973632752895355,,2
0,,,,0.096435546875,,3
0,,,,0.11846679449081421,,4
0,,,,0.10081054270267487,,5
0,,,,0.1061718761920929,,6
0,,,,0.09971679747104645,,7
0,0.2706480324268341,0.16025009751319885,0.8700000047683716,,0.15876953303813934,7
1,,,,0.11852538585662842,,8
1,,,,0.10279296338558197,,9
1,,,,0.10872069746255875,,10
1,,,,0.0837109386920929,,11
1,,,,0.09141601622104645,,12
1,,,,0.10166015475988388,,13
1,,,,0.13207030296325684,,14
1,,,,0.10622069984674454,,15
1,0.2738419771194458,0.16436636447906494,0.8199999928474426,,0.161376953125,15
2,,,,0.11047851294279099,,16
2,,,,0.10458007454872131,,17
2,,,,0.10227538645267487,,18
2,,,,0.09267578274011612,,19
2,,,,0.11075194925069809,,20
2,,,,0.10529296845197678,,21
2,,,,0.11313476413488388,,22
2,,,,0.1086132824420929,,23
2,0.3402973413467407,0.21336808800697327,0.8399999737739563,,0.14875976741313934,23
3,,,,0.10603515058755875,,24
3,,,,0.10928710550069809,,25
3,,,,0.1020800769329071,,26
3,,,,0.1159960925579071,,27
3,,,,0.10280273109674454,,28
3,,,,0.10652343183755875,,29
3,,,,0.11073242127895355,,30
3,,,,0.10513671487569809,,31
3,0.38010892271995544,0.25128161907196045,0.7799999713897705,,0.13794921338558197,31
4,,,,0.10974609106779099,,32
4,,,,0.10227538645267487,,33
4,,,,0.10472656041383743,,34
4,,,,0.10454101115465164,,35
4,,,,0.11149413883686066,,36
4,,,,0.08440429717302322,,37
4,,,,0.09647461026906967,,38
4,,,,0.11456054449081421,,39
4,0.42700400948524475,0.29846617579460144,0.75,,0.1203027218580246,39
5,,,,0.10417968779802322,,40
5,,,,0.11150390654802322,,41
5,,,,0.10654296725988388,,42
5,,,,0.08907226473093033,,43
5,,,,0.10596679151058197,,44
5,,,,0.10508789122104645,,45
5,,,,0.09844726324081421,,46
5,,,,0.10608398169279099,,47
5,0.45170125365257263,0.3290754556655884,0.7200000286102295,,0.11603515595197678,47
6,,,,0.10505858808755875,,48
6,,,,0.11811523139476776,,49
6,,,,0.1081250011920929,,50
6,,,,0.10356444865465164,,51
6,,,,0.1149609312415123,,52
6,,,,0.10837890207767487,,53
6,,,,0.10408202558755875,,54
6,,,,0.0997949168086052,,55
6,0.4900955259799957,0.38310524821281433,0.6800000071525574,,0.1071484386920929,55
7,,,,0.09757812321186066,,56
7,,,,0.09289062023162842,,57
7,,,,0.10551757365465164,,58
7,,,,0.10319335758686066,,59
7,,,,0.10587890446186066,,60
7,,,,0.10811523348093033,,61
7,,,,0.12549804151058197,,62
7,,,,0.08965820074081421,,63
7,0.4452458322048187,0.3184156119823456,0.7400000095367432,,0.12632812559604645,63
8,,,,0.10975585877895355,,64
8,,,,0.10407226532697678,,65
8,,,,0.1171289011836052,,66
8,,,,0.11052734404802322,,67
8,,,,0.10203124582767487,,68
8,,,,0.1015917956829071,,69
8,,,,0.10557617247104645,,70
8,,,,0.10517577826976776,,71
8,0.3933444917201996,0.2653355896472931,0.7599999904632568,,0.13100585341453552,71
9,,,,0.1098925769329071,,72
9,,,,0.10874023288488388,,73
9,,,,0.10975585877895355,,74
9,,,,0.10513671487569809,,75
9,,,,0.10897460579872131,,76
9,,,,0.10505858808755875,,77
9,,,,0.10376952588558197,,78
9,,,,0.11167968809604645,,79
9,0.42850053310394287,0.3128078579902649,0.6800000071525574,,0.12950195372104645,79
10,,,,0.10616210848093033,,80
10,,,,0.10484375059604645,,81
10,,,,0.10416992008686066,,82
10,,,,0.1122460886836052,,83
10,,,,0.1047070324420929,,84
10,,,,0.10669921338558197,,85
10,,,,0.1110253855586052,,86
10,,,,0.09778320044279099,,87
10,0.44899696111679077,0.3242006003856659,0.7300000190734863,,0.11774414032697678,87
11,,,,0.1025390625,,88
11,,,,0.10599609464406967,,89
11,,,,0.10392577946186066,,90
11,,,,0.10271484404802322,,91
11,,,,0.11147460341453552,,92
11,,,,0.10539062321186066,,93
11,,,,0.10880859196186066,,94
11,,,,0.09415038675069809,,95
11,0.4605307877063751,0.3363659977912903,0.7300000190734863,,0.11923827975988388,95
12,,,,0.10276366770267487,,96
12,,,,0.10349608957767487,,97
12,,,,0.1102929636836052,,98
12,,,,0.11381835490465164,,99
12,,,,0.10065429657697678,,100
12,,,,0.10283202677965164,,101
12,,,,0.09384765475988388,,102
12,,,,0.1056835949420929,,103
12,0.45396578311920166,0.312421977519989,0.8299999833106995,,0.12644530832767487,103
13,,,,0.09361328184604645,,104
13,,,,0.10551757365465164,,105
13,,,,0.10011718422174454,,106
13,,,,0.10834960639476776,,107
13,,,,0.11195312440395355,,108
13,,,,0.0944531261920929,,109
13,,,,0.09504882246255875,,110
13,,,,0.11679687350988388,,111
13,0.4935097098350525,0.3548569083213806,0.8100000023841858,,0.10301757603883743,111
14,,,,0.10490234196186066,,112
14,,,,0.09867187589406967,,113
14,,,,0.1044628918170929,,114
14,,,,0.09714843332767487,,115
14,,,,0.10010741651058197,,116
14,,,,0.11787109076976776,,117
14,,,,0.10040038824081421,,118
14,,,,0.11324218660593033,,119
14,0.4708254337310791,0.35218605399131775,0.7099999785423279,,0.12786132097244263,119
15,,,,0.10979492217302322,,120
15,,,,0.08887694776058197,,121
15,,,,0.10477539151906967,,122
15,,,,0.1120898425579071,,123
15,,,,0.0988476574420929,,124
15,,,,0.10441406071186066,,125
15,,,,0.10419921576976776,,126
15,,,,0.09998046606779099,,127
15,0.453657329082489,0.3233290910720825,0.7599999904632568,,0.12477538734674454,127
16,,,,0.10855468362569809,,128
16,,,,0.10336913913488388,,129
16,,,,0.10977538675069809,,130
16,,,,0.09266601502895355,,131
16,,,,0.09419921785593033,,132
16,,,,0.10342773050069809,,133
16,,,,0.09516601264476776,,134
16,,,,0.10303710401058197,,135
16,0.4489878714084625,0.3376181721687317,0.6700000166893005,,0.12487304955720901,135
17,,,,0.10480468720197678,,136
17,,,,0.0973828136920929,,137
17,,,,0.10054687410593033,,138
17,,,,0.11040038615465164,,139
17,,,,0.10855468362569809,,140
17,,,,0.09999999403953552,,141
17,,,,0.10674804449081421,,142
17,,,,0.10349608957767487,,143
17,0.4737907648086548,0.3421644866466522,0.7699999809265137,,0.12244140356779099,143
18,,,,0.10352538526058197,,144
18,,,,0.10097655653953552,,145
18,,,,0.10002929717302322,,146
18,,,,0.10833007842302322,,147
18,,,,0.12496093660593033,,148
18,,,,0.09134765714406967,,149
18,,,,0.1039746105670929,,150
18,,,,0.10654296725988388,,151
18,0.4649742841720581,0.3330433666706085,0.7699999809265137,,0.12658202648162842,151
19,,,,0.09266601502895355,,152
19,,,,0.11246093362569809,,153
19,,,,0.09911132603883743,,154
19,,,,0.09228515625,,155
19,,,,0.09870117157697678,,156
19,,,,0.0949414074420929,,157
19,,,,0.10750976204872131,,158
19,,,,0.0959765613079071,,159
19,0.459341436624527,0.3394883871078491,0.7099999785423279,,0.12706054747104645,159
